"","Step","Run","p","Duration"
"502","Subset selection",3,1300,0.0100000000002183
"503","gfBLUP genomic prediction",3,1300,0.159999999999854
"504","Other",3,1300,0.0300000000002001
"505","Redundancy filtering",4,1300,11.02
"506","Genetic regularization",4,1300,50.25
"507","Residual regularization",4,1300,52.0799999999999
"508","Factor model",4,1300,2.15000000000009
"509","Factor scores",4,1300,2.81999999999971
"510","Subset selection",4,1300,0.0300000000002001
"511","gfBLUP genomic prediction",4,1300,0.139999999999873
"512","Other",4,1300,0.0100000000002183
"513","Redundancy filtering",5,1300,11.0799999999999
"514","Genetic regularization",5,1300,50.9200000000001
"515","Residual regularization",5,1300,53.2399999999998
"516","Factor model",5,1300,2.11999999999989
"517","Factor scores",5,1300,2.80999999999995
"518","Subset selection",5,1300,0.0300000000002001
"519","gfBLUP genomic prediction",5,1300,0.159999999999854
"520","Other",5,1300,0.0100000000002183
"521","Redundancy filtering",1,1400,13.04
"522","Genetic regularization",1,1400,60.75
"523","Residual regularization",1,1400,62.3299999999999
"524","Factor model",1,1400,2.5300000000002
"525","Factor scores",1,1400,3.57000000000016
"526","Subset selection",1,1400,0.0299999999997453
"527","gfBLUP genomic prediction",1,1400,0.329999999999927
"528","Other",1,1400,0.0199999999999818
"529","Redundancy filtering",2,1400,13.27
"530","Genetic regularization",2,1400,60.8099999999999
"531","Residual regularization",2,1400,65.0500000000002
"532","Factor model",2,1400,2.55999999999995
"533","Factor scores",2,1400,3.40999999999985
"534","Subset selection",2,1400,0.0500000000001819
"535","gfBLUP genomic prediction",2,1400,0.230000000000018
"536","Other",2,1400,0.00999999999976353
"537","Redundancy filtering",3,1400,13.2600000000002
"538","Genetic regularization",3,1400,61.0499999999997
"539","Residual regularization",3,1400,64
"540","Factor model",3,1400,2.55000000000018
"541","Factor scores",3,1400,3.44999999999982
"542","Subset selection",3,1400,0.0199999999999818
"543","gfBLUP genomic prediction",3,1400,0.210000000000036
"544","Other",3,1400,0.0199999999999818
"545","Redundancy filtering",4,1400,13.21
"546","Genetic regularization",4,1400,60.8699999999999
"547","Residual regularization",4,1400,65.0799999999995
"548","Factor model",4,1400,2.52000000000044
"549","Factor scores",4,1400,3.44999999999982
"550","Subset selection",4,1400,0.0299999999997453
"551","gfBLUP genomic prediction",4,1400,0.230000000000473
"552","Other",4,1400,0.0100000000002183
"553","Redundancy filtering",5,1400,13.6999999999998
"554","Genetic regularization",5,1400,61.1099999999997
"555","Residual regularization",5,1400,63.9400000000005
"556","Factor model",5,1400,2.50999999999931
"557","Factor scores",5,1400,3.63000000000011
"558","Subset selection",5,1400,0.0299999999997453
"559","gfBLUP genomic prediction",5,1400,0.200000000000728
"560","Other",5,1400,0.0300000000006548
"561","Redundancy filtering",1,1500,15.8099999999995
"562","Genetic regularization",1,1500,79.8800000000001
"563","Residual regularization",1,1500,77.8400000000001
"564","Factor model",1,1500,3.30000000000018
"565","Factor scores",1,1500,4.19999999999982
"566","Subset selection",1,1500,0.0299999999997453
"567","gfBLUP genomic prediction",1,1500,0.170000000000073
"568","Other",1,1500,0.0200000000004366
"569","Redundancy filtering",2,1500,15.7299999999996
"570","Genetic regularization",2,1500,76.0299999999997
"571","Residual regularization",2,1500,79.5700000000006
"572","Factor model",2,1500,3.25
"573","Factor scores",2,1500,4.22999999999956
"574","Subset selection",2,1500,0.0299999999997453
"575","gfBLUP genomic prediction",2,1500,0.200000000000728
"576","Other",2,1500,0.0300000000006548
"577","Redundancy filtering",3,1500,15.71
"578","Genetic regularization",3,1500,73.8600000000006
"579","Residual regularization",3,1500,77.3599999999997
"580","Factor model",3,1500,3.28999999999996
"581","Factor scores",3,1500,4.23999999999978
"582","Subset selection",3,1500,0.0300000000006548
"583","gfBLUP genomic prediction",3,1500,0.1899999999996
"584","Other",3,1500,0.00999999999930878
"585","Redundancy filtering",4,1500,15.7200000000003
"586","Genetic regularization",4,1500,75.6500000000005
"587","Residual regularization",4,1500,78.5
"588","Factor model",4,1500,3.21999999999935
"589","Factor scores",4,1500,4.24000000000069
"590","Subset selection",4,1500,0.0399999999999636
"591","gfBLUP genomic prediction",4,1500,0.159999999999854
"592","Other",4,1500,0.0199999999995271
"593","Redundancy filtering",5,1500,16.0299999999997
"594","Genetic regularization",5,1500,74.1300000000001
"595","Residual regularization",5,1500,77.1499999999996
"596","Factor model",5,1500,3.13000000000011
"597","Factor scores",5,1500,4.15000000000055
"598","Subset selection",5,1500,0.0399999999999636
"599","gfBLUP genomic prediction",5,1500,0.279999999999745
"600","Other",5,1500,0.0100000000002183
"601","Redundancy filtering",1,1600,19.04
"602","Genetic regularization",1,1600,88.5899999999992
"603","Residual regularization",1,1600,95
"604","Factor model",1,1600,3.80000000000018
"605","Factor scores",1,1600,5.03000000000065
"606","Subset selection",1,1600,0.0299999999997453
"607","gfBLUP genomic prediction",1,1600,0.229999999999563
"608","Other",1,1600,0.0100000000002183
"609","Redundancy filtering",2,1600,19.1900000000005
"610","Genetic regularization",2,1600,90.1300000000001
"611","Residual regularization",2,1600,92.8699999999999
"612","Factor model",2,1600,3.88000000000011
"613","Factor scores",2,1600,4.97999999999956
"614","Subset selection",2,1600,0.0500000000001819
"615","gfBLUP genomic prediction",2,1600,0.279999999999745
"616","Other",2,1600,0.00999999999930878
"617","Redundancy filtering",3,1600,18.8400000000001
"618","Genetic regularization",3,1600,90.8900000000003
"619","Residual regularization",3,1600,92.4200000000001
"620","Factor model",3,1600,3.92999999999938
"621","Factor scores",3,1600,5.03999999999996
"622","Subset selection",3,1600,0.0300000000006548
"623","gfBLUP genomic prediction",3,1600,0.269999999999527
"624","Other",3,1600,0.0199999999995271
"625","Redundancy filtering",4,1600,18.8800000000001
"626","Genetic regularization",4,1600,88.6199999999999
"627","Residual regularization",4,1600,93.2300000000005
"628","Factor model",4,1600,3.85999999999967
"629","Factor scores",4,1600,5.07999999999993
"630","Subset selection",4,1600,0.0299999999997453
"631","gfBLUP genomic prediction",4,1600,0.270000000000437
"632","Other",4,1600,0.0199999999995271
